"tadpole","treatment","pond","PC1","PC2"
"PB_02_B_High","High","PB",-0.00702426785870868,-0.00519815781541191
"CPS_05_B_Low","Low","CPS",-0.0287327019108786,0.0265069549116919
"E1_02_C_High","High","E1",-0.0194062704378534,0.0110886083819506
"DT_05_C_High","High","DT",-0.0120866776326396,0.022519504067154
"PB_02_C_Low","Low","PB",-0.0173343458000148,-7.80200500733905e-05
"DE_03_B_Low","Low","DE",-0.0533726098302983,0.0377400060752936
"BS_05_B_High","High","BS",-0.0416856496224516,0.0114505022106113
"BS_03_D_Low","Low","BS",-0.0123396377355642,0.00195220789082699
"GB_W_18_Wild","Wild","GB",0.0545867121849972,-0.0242319425207187
"LO_04_A_High","High","LO",-0.0230175854874879,-0.00315404938561101
"DE_05_D_High","High","DE",0.0435718558920066,0.0590726122380517
